#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
585,Money,$$$,"$14,274",$0.000311,"45,887,218",Low Vol,0.36%,-22.33%,-11.42%
586,Sling,SLING,"$14,138",$0.013163,"1,074,095*",Low Vol,0.45%,4.08%,-19.56%
587,TAGRcoin,TAGR,"$13,882",$0.000359,"38,669,634*",Low Vol,0.45%,6.54%,96.41%
588,AntiBitcoin,ANTI,"$13,865",$0.000794,"17,465,159",Low Vol,?,?,11.41%
589,FlavorCoin,FLVR,"$13,477",$0.000646,"20,873,161*",Low Vol,0.56%,-41.34%,-29.12%
590,LeaCoin,LEA,"$13,364",$0.000049,"274,519,289",Low Vol,0.50%,6.86%,33.22%
591,SecretCoin,SCRT,"$12,672",$0.002997,"4,228,672*",Low Vol,?,2.62%,1.87%
592,VapersCoin,VPRC,"$12,140",$0.000016,"780,124,964",Low Vol,45.06%,80.43%,-12.03%
593,DAPPSTER,DLISK,"$11,966",$0.000120,"100,000,000*",Low Vol,0.57%,?,?
594,GPU Coin,GPU,"$11,562",$0.000286,"40,477,042",Low Vol,-0.22%,-16.41%,8.01%
595,AnarchistsPrime,ACP,"$11,280",$0.002567,"4,394,874",Low Vol,20.13%,19.35%,-50.59%
596,WARP,WARP,"$11,009",$0.010051,"1,095,224*",Low Vol,0.45%,?,?
597,G3N,G3N,"$10,858",$0.001436,"7,561,891",Low Vol,0.45%,18.38%,?
598,Comet,CMT,"$10,758",$0.012325,"872,830",Low Vol,3.50%,24.35%,40.04%
599,Printerium,PRX,"$10,641",$0.001173,"9,074,428",Low Vol,0.45%,36.93%,83.38%
600,BlazeCoin,BLZ,"$10,631",$0.000017,"608,557,394",Low Vol,-27.96%,12.68%,103.67%
601,Bikercoin,BIC,"$10,308",$0.001117,"9,232,002",Low Vol,?,?,-44.00%
602,Cashcoin,CASH,"$10,290",$0.000287,"35,831,128",Low Vol,0.57%,?,423.94%
603,Qibuck Asset,QBK,"$10,269",$0.007693,"1,334,839*",Low Vol,1.38%,-39.46%,?
604,JobsCoin,JOBS,"$10,149",$0.000096,"106,019,270",Low Vol,0.45%,6.54%,161.52%
605,EGO,EGO,"$10,052",$0.000168,"60,000,001*",Low Vol,0.57%,50.41%,83.38%
606,PLNcoin,PLNC,"$9,906",$0.000580,"17,089,600**",Low Vol,?,?,32.47%
607,Iconic,ICON,"$9,833",$0.016585,"592,894*",Low Vol,0.57%,6.46%,13.75%
608,Metal Music Coin,MTLMC3,"$9,539",$0.000120,"79,719,140",Low Vol,0.57%,6.54%,64.47%
609,DPAY,DPAY,"$9,518",$0.000120,"79,541,001",Low Vol,0.57%,-3.19%,17.58%
610,1CRedit,1CR,"$9,439",$0.107001,"88,213",Low Vol,0.57%,16.04%,?
611,BowsCoin,BSC,"$8,642",$0.001557,"5,550,102",Low Vol,0.67%,6.71%,39.76%
612,Dix Asset,DIX,"$8,636",$1.4e-07,"60,000,000,000*",Low Vol,1.87%,0.77%,35.77%
613,Xonecoin,XOC,"$8,544",$0.020342,"420,000*",Low Vol,0.57%,?,53.57%
614,OsmiumCoin,OS76,"$8,499",$0.009507,"894,026",Low Vol,?,?,11.90%
615,Coinonat,CXT,"$8,481",$0.004565,"1,858,002",Low Vol,-1.06%,9.01%,61.98%
616,iBank,IBANK,"$8,449",$0.001867,"4,526,324",Low Vol,0.57%,10.80%,45.96%
617,PosEx,PEX,"$8,102",$0.003303,"2,453,240",Low Vol,0.57%,8.71%,43.46%
618,Shilling,SH,"$8,069",$0.002589,"3,116,550*",Low Vol,0.57%,28.13%,207.15%
619,TajCoin,TAJ,"$7,980",$0.001408,"5,667,934",Low Vol,-0.81%,10.48%,-1.50%
620,Zonecoin,ZNE,"$7,662",$0.002968,"2,581,970",Low Vol,0.57%,2.41%,48.39%
621,Bitcoin 21,XBTC21,"$7,611",$0.009597,"793,108*",Low Vol,0.45%,-15.57%,-41.89%
622,LetItRide,LIR,"$7,585",$0.000215,"35,216,376*",Low Vol,0.57%,-26.24%,-9.32%
623,Future Digita...,FDC,"$7,546",$0.002992,"2,522,551",Low Vol,0.57%,-19.74%,-30.85%
624,Speedcash,SCS,"$7,494",$0.028719,"260,946",Low Vol,0.57%,-27.97%,4.58%
625,Hirocoin,HIRO,"$7,428",$0.000024,"310,365,108",Low Vol,0.45%,6.54%,30.99%
626,Antilitecoin,ALTC,"$6,025",$0.000191,"31,512,613",Low Vol,?,6.40%,28.80%
627,Pulse,PULSE,"$5,955",$0.000416,"14,298,972",Low Vol,0.06%,-44.28%,-39.18%
628,Elysium,ELS,"$5,943",$0.001484,"4,005,012",Low Vol,0.57%,40.60%,53.48%
629,Rawcoin,XRC,"$5,904",$0.008376,"704,882",Low Vol,0.57%,54.17%,112.25%
630,Photon,PHO,"$5,615",$6.4e-07,"8,762,016,619",Low Vol,1.19%,-38.26%,6.01%
631,ImpulseCoin,IMPS,"$5,330",$0.000263,"20,245,510",Low Vol,0.57%,-24.28%,20.00%
632,SydPak,SDP,"$5,223",$0.032954,"158,483*",Low Vol,0.57%,-5.24%,-41.72%
633,GeertCoin,GEERT,"$5,195",$0.001039,"4,999,639",Low Vol,9.71%,38.75%,139.50%
634,Revenu,REV,"$5,093",$0.004260,"1,195,525",Low Vol,0.57%,17.79%,?
635,BitTokens,BXT,"$4,666",$0.009932,"469,845",Low Vol,0.57%,8.90%,-4.47%
636,GanjaCoin,420G,"$4,506",$0.006783,"664,286",Low Vol,0.57%,-74.65%,-12.85%
637,Save and Gain,SANDG,"$4,401",$0.001436,"3,064,800",Low Vol,0.45%,6.54%,54.10%
638,JIO Token,JIO,"$4,201",$0.002202,"1,908,128*",Low Vol,0.57%,-14.77%,?
639,Concoin,CONX,"$4,171",$0.006151,"678,151",Low Vol,0.57%,-17.01%,21.38%
640,NodeCoin,NODC,"$3,856",$0.002297,"1,678,439",Low Vol,0.57%,7.66%,?
641,BioBar,BIOB,"$3,604",$0.004068,"885,756*",Low Vol,0.57%,8.14%,9.80%
642,Impeachcoin,IMPCH,"$2,950",$0.009573,"308,179*",Low Vol,0.57%,14.87%,78.11%
643,Selfiecoin,SLFI,"$2,581",$0.000024,"107,829,281",Low Vol,0.57%,6.54%,30.82%
644,Doubloon,BOAT,"$2,377",$0.000670,"3,547,845",Low Vol,-29.60%,-23.27%,196.37%
645,Enigma,XNG,"$2,303",$0.138519,"16,627",Low Vol,0.45%,23.08%,60.90%
646,Californium,CF,"$1,994",$0.017949,"111,110",Low Vol,1.10%,-39.22%,19.36%
647,P7Coin,P7C,"$1,686",$0.000048,"35,220,238",Low Vol,0.45%,113.08%,?
648,Dollar Online,DOLLAR,$952,$0.010769,"88,379",Low Vol,0.57%,-22.42%,35.08%
649,Zcashshare,ZHS,$676,$0.000239,"2,826,000",Low Vol,0.45%,-10.18%,-6.06%
650,Digital Credits,DGCS,$558,$0.000096,"5,826,388",Low Vol,0.57%,-23.13%,37.68%
651,CRTCoin,CRT,$379,$0.004786,"79,270**",Low Vol,0.45%,6.54%,30.99%
652,PizzaCoin,PIZZA,$330,$0.000239,"1,377,917",Low Vol,0.57%,0.69%,?
653,Xenixcoin,XEN,$109,$0.010817,"10,100",Low Vol,0.57%,-62.96%,-66.98%
654,CaliphCoin,CALC,$84,$0.000962,"87,140",Low Vol,0.57%,-29.11%,-57.27%
655,MikeTheMug,MUG,$9,$0.000009,"999,279*",Low Vol,1.38%,-0.76%,-98.95%
656,BTCGold,XBG,?,$0.288047,?,Low Vol,0.57%,?,47.44%
657,Soarcoin,SOAR,?,$0.019720,?*,Low Vol,0.57%,1.42%,7.92%
658,23 Skidoo,CHAO,?,$9693.87,?,"$24,362",0.57%,6.53%,31.65%
659,Internet of T...,XOT,?,$813.69,?*,$581,0.57%,5.36%,27.25%
660,AMIS,AMIS,?,$421.52,?*,Low Vol,?,-0.24%,211.70%
661,Bitcoin Unlim...,BTU,?,$159.46,?,"$7,333",0.05%,6.13%,175.00%
662,Malcoin,MALC,?,$31.19,?*,"$52,805",0.57%,6.54%,30.99%
663,GoldUnionCoin,GUC,?,$23.62,?*,"$43,905",0.57%,8.27%,37.53%
664,Forevercoin,XFC,?,$17.14,?*,Low Vol,?,-0.66%,17.42%
665,iTicoin,ITI,?,$7.65,?*,$519,0.15%,23.96%,2.77%
666,Fargocoin,FRGC,?,$7.24,?,"$533,113",2.01%,3.05%,2.14%
667,Qtum,QTUM,?,$6.48,?*,"$12,794,800",0.37%,?,?
668,Decent (Pre-L...,DCT,?,$4.55,?*,"$3,368",0.57%,12.18%,247.83%
669,GAYcoin,GAY,?,$3.41,?,Low Vol,1.43%,813.04%,841.86%
670,Internet of P...,IOP,?,$3.35,?,"$20,686",-0.96%,30.03%,74.97%
671,Bitcore,BTX,?,$1.63,?,$600,0.57%,7.99%,32.00%
672,PRIZM,PZM,?,$1.09,?*,"$11,726",-12.85%,-6.74%,?
673,Databits,DTB,?,$1.07,?*,"$210,245",1.80%,26.34%,94.24%
674,DynamicCoin,DMC,?,$0.999626,?,"$373,252",0.00%,0.14%,0.01%
675,TechShares,THS,?,$0.847149,?*,"$2,037",0.57%,-11.66%,64.98%
676,Bitgem,BTG,?,$0.842657,?,Low Vol,0.25%,-21.14%,34.96%
677,TeslaCoilCoin,TESLA,?,$0.778871,?*,Low Vol,0.57%,-13.24%,-11.16%
678,Zilbercoin,ZBC,?,$0.430300,?*,"$178,323",-10.05%,12.54%,257.88%
679,LEOcoin,LEO,?,$0.426370,?**,"$238,526",-0.13%,2.63%,-8.30%
680,WA Space,WA,?,$0.411465,?,"$44,164",0.57%,5.39%,-6.17%
681,ClubCoin,CLUB,?,$0.319711,?*,"$46,376",1.02%,-0.07%,30.84%
682,XDE II,XDE2,?,$0.311009,?*,Low Vol,-73.38%,-54.55%,-54.37%
683,Yogold,YOG,?,$0.283724,?*,Low Vol,?,5.26%,-81.93%
684,EB3 Coin,EB3,?,$0.273113,?,"$126,930",0.57%,1.22%,3.09%
685,DIBCOIN,DIBC,?,$0.212340,?*,"$5,957",-1.58%,12.72%,26.83%
686,Pabyosi Coin ...,PCS,?,$0.196408,?,"$14,041",-1.03%,9.68%,31.35%
687,TROPTIONS,TROPTIONS,?,$0.187119,?*,Low Vol,0.26%,48.49%,114.12%
688,Topaz Coin,TOPAZ,?,$0.181615,?,"$2,800",2.86%,-60.77%,27.66%
689,Golos Gold,GBG,?,$0.175159,?*,"$161,664",-2.17%,8.17%,43.07%
690,AlpaCoin,APC,?,$0.156732,?,"$4,613",0.45%,16.62%,13.10%
691,Fazzcoin,FAZZ,?,$0.108227,?*,"$1,932",-6.55%,70.60%,34.24%
692,Wowecoin,WEC,?,$0.107000,?*,Low Vol,0.00%,0.94%,6.97%
693,InvisibleCoin,IVZ,?,$0.095038,?*,Low Vol,?,4.36%,?
694,Tattoocoin (L...,TLE,?,$0.094998,?*,Low Vol,0.02%,-40.76%,136.23%
695,DeusCoin,DEUS,?,$0.087352,?,"$7,617",0.57%,-18.08%,-18.86%
696,WavesGo,WGO,?,$0.062603,?*,"$3,076",-0.42%,-25.83%,-4.19%
697,International...,XID,?,$0.061242,?,"$3,021",0.57%,172.64%,21.37%
698,InsaneCoin,INSN,?,$0.060194,?,"$6,117",0.65%,-22.62%,-38.30%
699,Omicron,OMC,?,$0.040493,?*,Low Vol,0.45%,11.62%,?
700,LandCoin,LDCN,?,$0.037240,?*,Low Vol,0.57%,102.27%,146.16%
701,Tyrocoin,TYC,?,$0.035023,?,Low Vol,?,3.94%,139.33%
702,ShellPay,SHELL,?,$0.034106,?*,"$65,608",1.38%,66.21%,276.80%
703,EDRCoin,EDRC,?,$0.030434,?*,$923,0.04%,1.81%,58.54%
704,Elacoin,ELC,?,$0.030044,?,Low Vol,0.46%,-63.56%,8.94%
705,DeltaCredits,DCRE,?,$0.029724,?*,Low Vol,0.57%,?,34.77%
706,RHFCoin,RHFC,?,$0.028240,?*,"$4,937",0.57%,0.41%,-38.74%
707,Lepaoquan,HLB,?,$0.026675,?*,"$2,802,710",4.71%,10.77%,57.43%
708,President Joh...,GARY,?,$0.025823,?*,Low Vol,0.57%,-1.15%,22.85%
709,CryptoBuck,BUK,?,$0.025689,?,Low Vol,-0.43%,7.70%,-13.54%
710,Avoncoin,ACN,?,$0.024841,?*,"$2,068",1.55%,-7.84%,-5.12%
711,IvugeoCoin,IEC,?,$0.024004,?*,Low Vol,0.45%,6.54%,40.51%
712,Digitalfund,DTF,?,$0.022205,?,"$5,319",-3.77%,-2.04%,-18.12%
713,Gycoin,GYC,?,$0.021577,?,"$29,451",-5.65%,-5.03%,?
714,Goldpay Coin,GP,?,$0.014499,?*,"$243,337",0.00%,108.94%,184.13%
715,Mind Gene,MG,?,$0.012445,?,"$28,423",-3.15%,-1.94%,-26.89%
716,Sharkcoin,SAK,?,$0.012418,?,"$1,055",4.36%,13.61%,100.23%
717,KolschCoin,TP1,?,$0.011224,?,Low Vol,5.28%,11.39%,-2.79%
718,ZSEcoin,ZSE,?,$0.010291,?,Low Vol,0.57%,17.18%,15.11%
719,GBCGoldCoin,GBC,?,$0.009139,?,Low Vol,-0.16%,-0.14%,13.96%
720,PiCoin,PI,?,$0.009094,?,Low Vol,0.57%,6.54%,-4.94%
721,First Bitcoin,BIT,?,$0.008638,?,$602,0.57%,-2.67%,33.17%
722,9COIN,9COIN,?,$0.008113,?*,$801,0.57%,9.07%,9.10%
723,Opal,OPAL,?,$0.006732,?*,"$3,711",-2.29%,-4.22%,43.73%
724,CHNCoin,CNC,?,$0.006722,?,"$59,892",1.06%,0.56%,115.92%
725,Xaucoin,XAU,?,$0.006055,?,Low Vol,0.45%,-3.39%,23.04%
726,BagCoin,BGC,?,$0.006037,?,"$80,828",0.87%,-2.91%,104.10%
727,EggCoin,EGG,?,$0.005709,?*,Low Vol,?,-0.34%,61.89%
728,Advanced Inte...,AIB,?,$0.005634,?**,Low Vol,?,-0.55%,-19.28%
729,Psilocybin,PSY,?,$0.005517,?,Low Vol,?,-0.15%,?
730,Bitcoin Scrypt,BTCS,?,$0.005145,?,Low Vol,0.57%,48.13%,75.24%
731,GoldReserve,XGR,?,$0.005050,?**,"$1,235",0.55%,8.73%,34.87%
732,Axiom,AXIOM,?,$0.004786,?,Low Vol,0.57%,4.45%,?
733,MMXVI,MMXVI,?,$0.004762,?,"$2,182",29.11%,-5.37%,63.93%
734,Dashs,DASHS,?,$0.004571,?,Low Vol,0.57%,6.98%,-5.98%
735,UltraCoin,UTC,?,$0.004571,?,"$15,718",4.17%,9.06%,27.72%
736,President Trump,PRES,?,$0.003843,?*,Low Vol,0.45%,12.88%,10.53%
737,RoyalCoin 2,RYCN,?,$0.003751,?*,Low Vol,0.57%,16.26%,62.94%
738,Helleniccoin,HNC,?,$0.003590,?,Low Vol,0.57%,-0.12%,36.44%
739,Quotient,XQN,?,$0.003422,?*,Low Vol,0.57%,6.54%,?
740,netBit,NBIT,?,$0.003279,?*,Low Vol,0.57%,4.26%,31.86%
741,AvatarCoin,AV,?,$0.003207,?*,Low Vol,0.45%,?,?
742,TrickyCoin,TRICK,?,$0.002824,?,Low Vol,0.45%,?,36.42%
743,Clinton,CLINT,?,$0.002585,?*,Low Vol,0.45%,?,?
744,BitcoinFast,BCF,?,$0.002573,?**,Low Vol,0.09%,-12.07%,12.90%
745,GameLeagueCoin,GML,?,$0.002465,?*,Low Vol,0.45%,?,?
746,Mavro,MAVRO,?,$0.002369,?,Low Vol,0.57%,6.54%,14.76%
747,Condensate,RAIN,?,$0.002112,?,"$1,657",-1.09%,-9.80%,-39.76%
748,OCOW,OCOW,?,$0.002044,?,Low Vol,?,?,?
749,RichCoin,RICHX,?,$0.001795,?,Low Vol,0.57%,?,?
750,Alphabet Coin...,FUN,?,$0.001699,?,Low Vol,0.57%,8.06%,40.91%
751,PrismChain,PRM,?,$0.001675,?*,"$7,218",-25.87%,272.89%,1048.06%
752,BestChain,BEST,?,$0.001593,?,Low Vol,0.01%,0.47%,23.85%
753,TodayCoin,TODAY,?,$0.001580,?,$821,11.51%,33.15%,-21.89%
754,Neptune Classic,NTCC,?,$0.001508,?,$716,0.57%,14.73%,66.34%
755,CBD Crystals,CBD,?,$0.001506,?*,Low Vol,0.60%,43.71%,139.11%
756,Digital Bulli...,DBG,?,$0.001364,?*,Low Vol,0.45%,41.23%,73.63%
757,UR,UR,?,$0.001312,?,Low Vol,0.61%,18.37%,36.09%
758,Skeincoin,SKC,?,$0.001293,?,Low Vol,?,4.70%,?
759,Vsync,XVS,?,$0.001186,?,"$2,803",1.30%,24.22%,-21.47%
760,RoyalCoin,ROYAL,?,$0.001055,?,Low Vol,1.47%,-8.14%,-0.38%
761,Bitcedi,BXC,?,$0.000996,?,Low Vol,?,?,?
762,True Investme...,TIC,?,$0.000981,?*,Low Vol,0.57%,-27.20%,23.38%
763,Motocoin,MOTO,?,$0.000957,?,"$14,073",20.84%,-22.14%,-28.50%
764,The Aladin,ADT,?,$0.000890,?*,Low Vol,0.00%,-0.08%,?
765,WeAreSatoshi,WSX,?,$0.000885,?,Low Vol,0.45%,9.50%,-0.30%
766,FrankyWillCoin,FRWC,?,$0.000790,?,Low Vol,0.57%,13.41%,?
767,Braincoin,BRAIN,?,$0.000784,?*,Low Vol,?,-0.34%,?
768,Opescoin,OPES,?,$0.000766,?,Low Vol,0.57%,7.98%,?
769,Dubstep,DUB,?,$0.000718,?*,Low Vol,0.57%,3.10%,?
770,Cubits,QBT,?,$0.000718,?,Low Vol,0.45%,6.52%,27.66%
771,RubleBit,RUBIT,?,$0.000694,?,Low Vol,0.57%,-8.74%,9.56%
772,Grumfork,GMF,?,$0.000670,?,Low Vol,0.57%,14.74%,41.06%
773,SportsCoin,SPORT,?,$0.000630,?*,Low Vol,?,?,?
774,Quebecoin,QBC,?,$0.000574,?,Low Vol,0.45%,2.28%,42.89%
775,BlazerCoin,BLAZR,?,$0.000574,?,Low Vol,0.57%,113.08%,-13.00%
776,President San...,BURN,?,$0.000574,?*,Low Vol,0.57%,98.96%,-35.84%
777,Lazaruscoin,LAZ,?,$0.000570,?*,Low Vol,?,5.72%,32.46%
778,GoldMaxCoin,GMX,?,$0.000503,?*,Low Vol,0.45%,10.20%,?
779,BitAlphaCoin,BAC,?,$0.000479,?,Low Vol,0.57%,-1.77%,-15.52%
780,MarxCoin,MARX,?,$0.000479,?,"$24,653",4.48%,12.16%,45.84%
781,T-coin,TCOIN,?,$0.000455,?,"$14,002",0.45%,11.68%,38.26%
782,KashhCoin,KASHH,?,$0.000438,?*,"$4,860",-6.26%,16.65%,-18.76%
783,AsicCoin,ASC,?,$0.000416,?,Low Vol,1.20%,10.40%,?
784,Happy Creator...,HCC,?,$0.000407,?*,$808,0.48%,29.04%,105.85%
785,DarkLisk,DISK,?,$0.000335,?,Low Vol,-6.24%,-0.56%,49.87%
786,VGINA,VGINA,?,$0.000334,?,Low Vol,?,-75.18%,-77.95%
787,UGAIN,GAIN,?,$0.000311,?,Low Vol,0.57%,6.54%,30.99%
788,Gambleo,GMB,?,$0.000290,?*,Low Vol,?,-0.54%,?
789,Operand,OP,?,$0.000287,?*,Low Vol,0.57%,?,20.40%
790,Sakuracoin,SKR,?,$0.000287,?,Low Vol,-3.46%,6.54%,26.00%
791,The Vegan Ini...,XVE,?,$0.000263,?*,Low Vol,0.57%,30.22%,-5.51%
792,Cycling Coin,CYC,?,$0.000263,?*,Low Vol,0.57%,17.19%,55.55%
793,TeraCoin,TERA,?,$0.000239,?,"$3,865",0.57%,-2.74%,-36.29%
794,Moneta,MONETA,?,$0.000239,?,$842,0.57%,52.20%,118.31%
795,MobileCash,MBL,?,$0.000168,?,Low Vol,0.57%,-9.58%,52.82%
796,LAthaan,LTH,?,$0.000144,?,Low Vol,0.57%,?,?
797,LinkedCoin,LKC,?,$0.000120,?,"$1,116",0.57%,-8.65%,?
798,TheCreed,TCR,?,$0.000096,?,Low Vol,0.57%,6.54%,41.30%
799,Halloween Coin,HALLO,?,$0.000094,?,$593,0.53%,-22.81%,45.76%
800,InflationCoin,IFLT,?,$0.000058,?*,"$1,789",-5.16%,51.94%,123.26%
801,LePen,LEPEN,?,$0.000051,?*,Low Vol,15.11%,23.04%,25.81%
802,MoneyCoin,MONEY,?,$0.000048,?,Low Vol,0.45%,-14.86%,30.99%
803,UNCoin,UNC,?,$0.000048,?*,$921,0.57%,5.19%,17.67%
804,PayPeer,PAYP,?,$0.000048,?,Low Vol,0.57%,6.54%,-12.68%
805,Global Busine...,GBRC,?,$0.000048,?,Low Vol,0.57%,13.58%,161.97%
806,TeamUp,TEAM,?,$0.000048,?*,Low Vol,0.45%,7.10%,?
807,Cashme,CME,?,$0.000048,?**,Low Vol,0.57%,113.08%,161.91%
808,Wowcoin,WOW,?,$0.000048,?,Low Vol,0.57%,6.54%,161.97%
809,Tellurion,TELL,?,$0.000048,?,Low Vol,0.57%,?,161.97%
810,Devcoin,DVC,?,$0.000045,?,Low Vol,1.20%,103.04%,?
811,Safe Trade Coin,XSTC,?,$0.000040,?*,Low Vol,?,?,120.87%
812,Victoriouscoin,VTY,?,$0.000028,?,Low Vol,-0.43%,23.69%,52.72%
813,PokeCoin,POKE,?,$0.000024,?,Low Vol,0.45%,-64.51%,31.26%
814,President Cli...,HILL,?,$0.000024,?*,Low Vol,0.57%,6.54%,30.99%
815,Aces,ACES,?,$0.000024,?*,Low Vol,0.57%,6.54%,30.99%
816,PinkDog,PDG,?,$0.000024,?,Low Vol,0.57%,?,-55.72%
817,X2,X2,?,$0.000024,?*,Low Vol,0.57%,-37.73%,?
818,FireFlyCoin,FFC,?,$0.000024,?,Low Vol,0.57%,6.54%,30.99%
819,Rcoin,RCN,?,$0.000024,?,Low Vol,0.57%,6.54%,30.99%
820,ChoofCoin,CHOOF,?,$0.000024,?,Low Vol,0.57%,6.54%,30.99%
821,SoulCoin,SOUL,?,$0.000024,?,Low Vol,0.57%,6.54%,30.99%
822,VegasCoin,VGC,?,$0.000023,?,Low Vol,?,3.52%,-42.71%
823,CyberCoin,CC,?,$0.000023,?*,Low Vol,?,3.35%,27.06%
824,SuperTurboStake,STRB,?,$0.000023,?*,Low Vol,?,3.34%,?
825,Yescoin,YES,?,$0.000023,?,Low Vol,0.56%,4.24%,33.46%
826,FedoraShare,FEDS,?,$0.000018,?*,"$10,113,300",0.00%,1.14%,-11.69%
827,Virtacoin,VTA,?,$0.000015,?,"$3,477",0.60%,-6.79%,835.77%
828,Dimecoin,DIME,?,$0.000002,?,"$2,646",0.34%,449.65%,463.98%
829,XP,XP,?,$8e-07,?,Low Vol,-0.60%,-91.94%,-84.89%
830,BitCentavo,NBE,?,$3.2e-07,?,Low Vol,?,?,28.30%
831,Paccoin,PAC,?,$5.8e-08,?,Low Vol,-14.76%,-17.48%,230.72%
832,Bond,BOND,?,?,"1,344*",Low Vol,?,?,?
